author_rank,author_name,author_key,inspire_author_recid,author_type,paper_count,frontier_count,frontiers,first_year,last_year,citable_paper_count,total_citations_on_coauthored_papers,mean_citations_on_coauthored_papers,max_citations_on_coauthored_papers
1120,"Giraldin, C.",INSPIRE:3083909,3083909,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1121,"Hauptman, J.",INSPIRE:1006479,1006479,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1122,"Lee, L.",INSPIRE:1998941,1998941,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1123,"Lu, Q.",INSPIRE:1303840,1303840,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1124,"Riva, F.",INSPIRE:1056642,1056642,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1125,"Sun, X.",INSPIRE:2023806,2023806,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1126,"Tortora, L.",INSPIRE:985810,985810,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1127,"Valle, N.",INSPIRE:1643523,1643523,individual,3,3,AF | EF | IF,2022,2022,3,257,85.66666666666667,114
1128,"Pospelov, Maxim",INSPIRE:992916,992916,individual,3,4,AF | NF | RPF | TF,2022,2022,3,255,85.0,175
1129,"Sakellariadou, Mairi",INSPIRE:990614,990614,individual,3,3,CF | EF | TF,2022,2022,3,252,84.0,153
1130,"Filippini, Jeffrey P.",INSPIRE:1038657,1038657,individual,3,4,CF | IF | NF | TF,2022,2022,3,250,83.33333333333333,172
1131,"Syritsyn, Sergey",INSPIRE:1037422,1037422,individual,3,6,CF | CompF | EF | NF | RPF | TF,2022,2022,3,250,83.33333333333333,136
1132,"Walsworth, Ronald L.",INSPIRE:1051993,1051993,individual,3,3,CF | IF | TF,2022,2022,3,249,83.0,132
1133,"Clark, Susan E.",INSPIRE:1890493,1890493,individual,3,4,CF | CompF | IF | TF,2022,2022,3,248,82.66666666666667,172
1134,"Gokhale, S.",INSPIRE:1974514,1974514,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,247,82.33333333333333,218
1135,"Lee, J.",INSPIRE:1189038,1189038,individual,3,6,AF | CF | IF | NF | RPF | UF,2022,2022,3,247,82.33333333333333,218
1136,"Zuber, K.",INSPIRE:981928,981928,individual,3,7,AF | CEF | CF | IF | NF | RPF | UF,2022,2022,3,247,82.33333333333333,218
1137,"Zuliani, Davide",INSPIRE:1863481,1863481,individual,3,4,AF | CompF | EF | IF,2022,2022,3,244,81.33333333333333,114
1138,"Griffith, W. Clark",INSPIRE:1259292,1259292,individual,3,4,CF | IF | NF | RPF,2022,2022,3,243,81.0,136
1139,"Rescia, Sergio",INSPIRE:991934,991934,individual,3,4,CF | IF | NF | RPF,2022,2022,3,243,81.0,136
1140,"Tishchenko, Volodya",INSPIRE:1046653,1046653,individual,3,4,CF | IF | NF | RPF,2022,2022,3,243,81.0,136
1141,"Jones, B.J.P.",INSPIRE:1073628,1073628,individual,3,4,CF | IF | NF | RPF,2022,2022,3,241,80.33333333333333,153
1142,"Gligorov, Vladimir, V.",INSPIRE:1057204,1057204,individual,3,3,CompF | EF | RPF,2020,2022,3,240,80.0,175
1143,"Sibille, V.",INSPIRE:1881358,1881358,individual,3,1,NF,2022,2022,3,237,79.0,119
1144,"Bianchini, Federico",INSPIRE:1423636,1423636,individual,3,3,CF | IF | TF,2022,2022,3,235,78.33333333333333,172
1145,"Bleem, Lindsey E.",INSPIRE:1246695,1246695,individual,3,3,CF | IF | TF,2022,2022,3,235,78.33333333333333,172
1146,"Carlstrom, John E.",INSPIRE:1029137,1029137,individual,3,3,CF | IF | TF,2022,2022,3,235,78.33333333333333,172
1147,"Cushman, Priscilla",INSPIRE:1012668,1012668,individual,3,4,CF | IF | NF | UF,2022,2022,3,235,78.33333333333333,132
1148,"Li, Qiang",INSPIRE:2140295,2140295,individual,3,4,AF | CompF | EF | TF,2020,2022,3,235,78.33333333333333,114
1149,"Loer, Ben",INSPIRE:1068057,1068057,individual,3,4,CF | IF | NF | UF,2022,2022,3,235,78.33333333333333,132
1150,"Omori, Yuuki",INSPIRE:1317299,1317299,individual,3,3,CF | IF | TF,2022,2022,3,235,78.33333333333333,172
1151,"Palanque-Delabrouille, Nathalie",INSPIRE:994472,994472,individual,3,1,CF,2022,2022,3,235,78.33333333333333,121
1152,"Valluri, Monica",INSPIRE:1037874,1037874,individual,3,1,CF,2022,2022,3,235,78.33333333333333,121
1153,"Simon, Sara M.",INSPIRE:1810429,1810429,individual,3,4,CEF | CF | IF | TF,2022,2022,3,228,76.0,175
1154,"Wang, Gensheng",INSPIRE:1065958,1065958,individual,3,3,CF | IF | TF,2022,2022,3,228,76.0,172
1155,"Alioli, Simone",INSPIRE:1058528,1058528,individual,3,5,CF | CompF | EF | NF | TF,2022,2022,3,227,75.66666666666667,201
1156,"Battaglieri, Marco",INSPIRE:1019449,1019449,individual,3,5,AF | EF | IF | RPF | TF,2022,2022,3,227,75.66666666666667,197
1157,"Spataro, Bruno",INSPIRE:1040432,1040432,individual,3,4,AF | CEF | EF | IF,2021,2022,3,227,75.66666666666667,99
1158,"Barry, Peter S.",INSPIRE:1956003,1956003,individual,3,3,CF | IF | TF,2022,2022,3,226,75.33333333333333,172
1159,"Ha, C.",INSPIRE:1064549,1064549,individual,3,4,CF | IF | NF | RPF,2022,2022,3,226,75.33333333333333,119
1160,"Mazzucato, E.",INSPIRE:998150,998150,individual,3,4,CF | IF | NF | RPF,2022,2022,3,226,75.33333333333333,119
1161,"Ricol, J.-S.",INSPIRE:1021173,1021173,individual,3,4,CF | IF | NF | RPF,2022,2022,3,226,75.33333333333333,119
1162,"Robert, A.",INSPIRE:1026811,1026811,individual,3,4,CF | IF | NF | RPF,2022,2022,3,226,75.33333333333333,119
1163,"Wang, E.",INSPIRE:1940672,1940672,individual,3,4,AF | EF | NF | RPF,2022,2022,3,226,75.33333333333333,153
1164,"Chang, Clarence L.",INSPIRE:1956008,1956008,individual,3,3,CF | IF | TF,2022,2022,3,225,75.0,172
1165,"Duff, Shannon M.",INSPIRE:1871046,1871046,individual,3,3,CF | IF | TF,2022,2022,3,225,75.0,172
1166,"Nugent, Peter E.",INSPIRE:995351,995351,individual,3,1,CF,2022,2022,3,225,75.0,121
1167,"Aldering, Greg",INSPIRE:1018713,1018713,individual,3,1,CF,2022,2022,3,224,74.66666666666667,121
1168,"BenZvi, Segev",INSPIRE:1037065,1037065,individual,3,1,CF,2022,2022,3,224,74.66666666666667,121
1169,"Berghaus, Kim V.",INSPIRE:1838032,1838032,individual,3,2,CF | TF,2022,2022,3,222,74.0,183
1170,"Guy, Julien",INSPIRE:1038199,1038199,individual,3,3,CF | CompF | TF,2022,2022,3,221,73.66666666666667,121
1171,"Hartman, Thomas",INSPIRE:1029673,1029673,individual,3,1,TF,2022,2022,3,221,73.66666666666667,95
1172,"Kremin, Anthony",INSPIRE:1597798,1597798,individual,3,3,CF | CompF | TF,2022,2022,3,221,73.66666666666667,121
1173,"Ringer, Felix",INSPIRE:1077892,1077892,individual,3,4,AF | EF | IF | TF,2022,2022,3,221,73.66666666666667,197
1174,"Schlegel, David J.",INSPIRE:1020065,1020065,individual,3,3,CF | CompF | TF,2022,2022,3,221,73.66666666666667,121
1175,"Barenboim, G.",INSPIRE:1017365,1017365,individual,3,4,CF | IF | NF | RPF,2022,2022,3,220,73.33333333333333,113
1176,"Dorrill, R.",INSPIRE:1873493,1873493,individual,3,2,IF | NF,2022,2022,3,220,73.33333333333333,153
1177,"Hernandez Villanueva, Michel",INSPIRE:1428181,1428181,individual,3,3,CompF | EF | RPF,2022,2022,3,220,73.33333333333333,152
1178,"Sanchez-Puertas, P.",INSPIRE:1272394,1272394,individual,3,3,EF | RPF | TF,2022,2022,3,217,72.33333333333333,134
1179,"Avilés-Casco, A. Vaquero",INSPIRE:1056581,1056581,individual,3,6,CF | CompF | EF | NF | RPF | TF,2022,2022,3,216,72.0,134
1180,"Van de Water, Ruth S.",INSPIRE:1021054,1021054,individual,3,6,CF | CompF | EF | NF | RPF | TF,2022,2022,3,216,72.0,134
1181,"Zimmermann, F.",INSPIRE:982002,982002,individual,3,6,AF | EF | IF | NF | RPF | TF,2022,2022,3,216,72.0,166
1182,"Liu, Keh-Fei",INSPIRE:1000018,1000018,individual,3,6,CF | CompF | EF | NF | RPF | TF,2022,2022,3,214,71.33333333333333,101
1183,"Zhao, Yong",INSPIRE:1387201,1387201,individual,3,6,CF | CompF | EF | NF | RPF | TF,2022,2022,3,214,71.33333333333333,101
